"Date","Entries"
2013-08-24,56124
2013-08-25,55708
2013-08-26,58422
2013-08-27,61655
2013-08-28,54579
2013-08-29,60789
2013-08-30,62318
2013-08-31,82882
2013-09-01,76654
2013-09-02,78825
2013-09-03,85734
2013-09-04,91055
2013-09-05,98117
2013-09-06,94515
2013-09-07,105904
2013-09-08,93942
2013-09-09,93697
2013-09-10,103097
2013-09-11,107644
2013-09-12,111863
2013-09-13,106733
2013-09-14,117513
2013-09-15,105104
2013-09-16,104052
2013-09-17,116806
2013-09-18,111900
2013-09-19,116238
2013-09-20,116239
2013-09-21,128882
2013-09-22,8815
2013-09-23,100288
2013-09-24,101870
2013-09-25,104023
2013-09-26,107929
2013-09-27,106399
2013-09-28,83699
2013-09-29,8142
2013-09-30,103559
2013-10-01,105397
2013-10-02,107445
2013-10-03,113975
2013-10-04,114674
2013-10-05,134308
2013-10-06,105005
2013-10-07,105060
2013-10-08,108070
2013-10-09,109178
2013-10-10,119168
2013-10-11,114969
2013-10-12,128797
2013-10-13,35363
2013-10-14,98802
2013-10-15,103722
2013-10-16,105386
2013-10-17,112494
2013-10-18,140883
2013-10-19,134691
2013-10-20,108943
2013-10-21,102159
2013-10-22,110308
2013-10-23,115598
2013-10-24,119054
2013-10-25,114695
2013-10-26,133668
2013-10-27,109187
2013-10-28,98975
2013-10-29,109228
2013-10-30,73430
2013-10-31,35547
2013-11-01,29275
2013-11-02,30340
2013-11-03,28938
2013-11-04,98740
2013-11-05,100634
2013-11-06,101617
2013-11-07,109359
2013-11-08,113119
2013-11-09,131264
2013-11-10,104715
2013-11-11,97573
2013-11-12,103213
2013-11-13,108614
2013-11-14,119775
2013-11-15,125051
2013-11-16,135425
2013-11-17,112675
2013-11-18,104169
2013-11-19,113648
2013-11-20,114203
2013-11-21,121786
2013-11-22,120827
2013-11-23,141536
2013-11-24,114595
2013-11-25,102187
2013-11-26,109250
2013-11-27,113848
2013-11-28,121405
2013-11-29,120960
2013-11-30,139303
2013-12-01,116601
2013-12-02,103431
2013-12-03,110947
2013-12-04,114898
2013-12-05,115224
2013-12-06,115884
2013-12-07,115509
2013-12-08,107740
2013-12-09,101456
2013-12-10,111304
2013-12-11,118062
2013-12-12,127026
2013-12-13,127103
2013-12-14,147354
2013-12-15,129951
2013-12-16,135510
2013-12-17,124908
2013-12-18,131928
2013-12-19,143933
2013-12-20,143921
2013-12-21,142914
2013-12-22,120129
2013-12-23,129283
2013-12-24,114607
2013-12-25,72630
2013-12-26,67875
2013-12-27,99240
2013-12-28,87518
2013-12-29,78091
2013-12-30,76281
2013-12-31,73948
2014-01-01,61697
2014-01-02,68430
2014-01-03,77673
2014-01-04,85867
2014-01-05,76891
2014-01-06,100214
2014-01-07,90922
2014-01-08,97082
2014-01-09,101348
2014-01-10,104978
2014-01-11,133203
2014-01-12,110593
2014-01-13,106797
2014-01-14,116601
2014-01-15,112335
2014-01-16,119431
2014-01-17,119204
2014-01-18,133736
2014-01-19,102661
2014-01-20,101438
2014-01-21,104393
2014-01-22,105315
2014-01-23,111556
2014-01-24,138602
2014-01-25,121908
2014-01-26,101213
2014-01-27,94439
2014-01-28,101381
2014-01-29,97704
2014-01-30,113221
2014-01-31,112426
2014-02-01,124614
2014-02-02,100222
2014-02-03,111036
2014-02-04,111272
2014-02-05,117880
2014-02-07,120721
2014-02-08,127540
2014-02-09,108818
2014-02-10,107697
2014-02-11,107914
2014-02-12,109574
2014-02-13,117654
2014-02-14,117049
2014-02-15,126336
2014-02-16,99899
2014-02-17,101207
2014-02-18,106494
2014-02-19,119124
2014-02-20,122527
2014-02-21,120676
2014-02-22,131047
2014-02-23,104431
2014-02-24,90264
2014-02-25,84489
2014-02-26,91458
2014-02-27,92978
2014-02-28,95411
2014-03-01,108954
2014-03-02,88153
2014-03-03,81616
2014-03-04,83942
2014-03-05,113737
2014-03-06,87282
2014-03-07,86933
2014-03-08,101004
2014-03-09,90456
2014-03-10,89137
2014-03-11,93085
2014-03-12,94977
2014-03-13,97998
2014-03-14,96877
2014-03-15,104658
2014-03-16,87576
2014-03-17,88039
2014-03-18,94641
2014-03-19,133605
2014-03-20,100510
2014-03-21,108844
2014-03-22,129592
2014-03-23,92586
2014-03-24,96038
2014-03-25,101889
2014-03-26,108676
2014-03-27,109455
2014-03-28,104797
2014-03-29,117426
2014-03-30,93163
2014-03-31,90658
2014-04-01,101150
2014-04-02,107617
2014-04-03,112027
2014-04-04,112071
2014-04-05,119177
2014-04-06,56182
2014-04-07,107390
2014-04-08,119421
2014-04-09,118527
2014-04-10,122501
2014-04-11,122954
2014-04-12,138987
2014-04-13,113399
2014-04-14,101515
2014-04-15,110376
2014-04-16,115219
2014-04-17,111125
2014-04-18,92741
2014-04-19,54985
2014-04-20,38766
2014-04-21,69197
2014-04-22,72848
2014-04-23,79246
2014-04-24,83507
2014-04-25,72748
2014-04-26,84255
2014-04-27,78265
2014-04-28,97169
2014-04-29,97276
2014-04-30,104679
2014-05-01,90760
2014-05-02,82517
2014-05-03,96730
2014-05-04,88880
2014-05-05,98444
2014-05-06,109159
2014-05-07,112795
2014-05-08,118824
2014-05-09,117391
2014-05-10,133169
2014-05-11,110071
2014-05-12,102165
